Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Unemployment rate,Inflation rate,GDP,Target
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,10.8,1.4,1.74,Dropout
1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,6,6,13.9,-0.3,0.79,Graduate
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,10.8,1.4,1.74,Dropout
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,6,5,9.4,-0.8,-3.12,Graduate
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,5,6,13.9,-0.3,0.79,Graduate
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,5,5,16.2,0.3,-0.92,Graduate
1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,7,8,15.5,2.8,-4.06,Graduate
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,15.5,2.8,-4.06,Dropout
1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,6,6,16.2,0.3,-0.92,Graduate
1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,5,2,8.9,1.4,3.51,Dropout
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,6,5,13.9,-0.3,0.79,Graduate
1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,7,7,12.7,3.7,-1.7,Graduate
1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,12.7,3.7,-1.7,Dropout
1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,6,5,8.9,1.4,3.51,Graduate
1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,4,5,10.8,1.4,1.74,Graduate
1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,5,0,15.5,2.8,-4.06,Dropout
1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,18,7,8,15.5,2.8,-4.06,Graduate
1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,4,4,10.8,1.4,1.74,Graduate
1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,21,0,0,11.1,0.6,2.02,Graduate
1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,0,18,7,7,12.7,3.7,-1.7,Graduate
1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,0,1,19,6,6,11.1,0.6,2.02,Graduate
1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,19,6,7,11.1,0.6,2.02,Graduate
1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,21,6,6,16.2,0.3,-0.92,Graduate
1,1,1,9,1,1,1,13,1,10,10,1,0,0,1,0,0,20,5,5,16.2,0.3,-0.92,Graduate
1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,1,0,20,6,4,8.9,1.4,3.51,Graduate
1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,0,19,6,6,12.4,0.5,1.79,Graduate
1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,1,0,34,5,5,13.9,-0.3,0.79,Graduate
1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,1,0,37,0,1,8.9,1.4,3.51,Dropout
1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,1,0,43,0,0,7.6,2.6,0.32,Dropout
1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,0,55,1,2,16.2,0.3,-0.92,Dropout
4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,0,39,5,5,7.6,2.6,0.32,Graduate
1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,0,20,3,3,12.4,0.5,1.79,Dropout
1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,0,18,4,0,12.7,3.7,-1.7,Dropout
1,1,2,9,1,1,1,3,14,3,8,1,0,0,1,0,0,22,5,5,8.9,1.4,3.51,Graduate
1,1,6,12,1,1,1,1,3,3,3,1,1,0,1,0,0,22,5,7,11.1,0.6,2.02,Graduate
1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,0,20,4,5,12.4,0.5,1.79,Dropout
1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,0,29,0,0,16.2,0.3,-0.92,Dropout
1,8,2,10,1,1,1,13,14,10,10,1,0,0,1,0,0,18,6,5,11.1,0.6,2.02,Graduate
1,8,6,12,1,1,1,22,14,8,8,1,0,0,1,0,1,22,6,7,11.1,0.6,2.02,Graduate
1,15,1,3,0,14,1,1,14,10,10,0,0,0,1,0,1,21,6,6,12.4,0.5,1.79,Graduate
1,1,1,10,1,1,1,22,28,10,10,0,0,0,1,0,1,19,5,6,12.7,3.7,-1.7,Graduate
1,12,1,11,1,1,1,13,28,10,8,0,0,0,1,0,1,24,6,6,12.4,0.5,1.79,Graduate
1,1,3,8,1,1,1,22,27,12,12,0,0,0,1,0,0,19,5,5,7.6,2.6,0.32,Graduate
1,12,1,17,0,1,1,23,28,10,10,0,0,0,1,0,0,27,5,5,9.4,-0.8,-3.12,Dropout
1,1,1,12,1,1,1,1,14,6,6,1,0,0,1,0,0,18,7,8,15.5,2.8,-4.06,Graduate
2,4,1,11,1,3,1,1,3,5,4,0,0,0,1,0,0,39,0,0,12.4,0.5,1.79,Dropout
1,12,1,8,1,15,1,3,3,3,3,1,0,0,1,0,0,27,5,10,12.4,0.5,1.79,Dropout
1,8,1,12,1,1,1,23,28,8,11,1,0,0,1,0,0,18,8,8,9.4,-0.8,-3.12,Graduate
1,1,2,12,1,1,1,13,14,10,10,0,0,0,1,0,0,18,6,7,16.2,0.3,-0.92,Graduate
1,15,1,10,1,14,1,13,1,10,10,0,0,0,1,0,1,21,6,6,13.9,-0.3,0.79,Graduate
4,13,1,12,1,12,1,1,1,6,6,1,0,0,1,1,0,29,5,5,13.9,-0.3,0.79,Dropout
1,1,3,2,1,1,1,13,14,6,4,1,0,0,1,1,1,19,0,0,10.8,1.4,1.74,Graduate
1,15,1,4,1,14,1,13,27,10,10,1,0,0,1,1,0,23,6,6,8.9,1.4,3.51,Graduate
1,1,3,9,1,1,1,1,28,8,8,0,0,1,1,1,0,19,5,4,16.2,0.3,-0.92,Dropout
1,8,1,12,1,1,1,22,14,9,5,0,0,0,1,1,0,24,7,8,13.9,-0.3,0.79,Graduate
1,1,1,2,1,1,1,13,14,6,11,1,0,0,1,1,0,19,0,0,15.5,2.8,-4.06,Dropout
1,8,4,11,1,1,1,23,27,6,8,1,0,0,1,1,0,18,3,1,12.4,0.5,1.79,Dropout
1,1,2,15,1,1,1,23,28,10,10,1,0,0,1,1,0,18,6,3,10.8,1.4,1.74,Graduate
1,8,3,9,1,1,1,13,14,5,8,1,0,1,1,1,0,18,3,3,10.8,1.4,1.74,Dropout
1,9,4,11,1,1,1,13,27,8,8,1,0,0,1,1,1,21,4,1,9.4,-0.8,-3.12,Dropout
1,8,4,15,1,1,1,1,14,10,9,1,0,1,1,1,1,19,6,6,8.9,1.4,3.51,Graduate
1,8,4,12,1,1,1,23,27,10,10,0,0,0,1,1,1,22,7,8,16.2,0.3,-0.92,Graduate
2,12,1,3,0,1,1,22,27,10,7,0,0,0,1,1,0,33,6,6,10.8,1.4,1.74,Graduate
1,1,6,16,1,1,1,13,14,10,10,1,0,0,1,1,0,20,5,5,10.8,1.4,1.74,Dropout
1,12,1,17,0,2,1,3,3,3,3,1,0,0,1,1,0,35,0,0,10.8,1.4,1.74,Dropout
1,12,1,4,1,4,1,3,3,5,3,0,0,1,1,1,0,24,6,10,12.4,0.5,1.79,Dropout
2,12,1,3,0,1,1,22,27,10,7,1,0,0,1,0,0,33,6,5,9.4,-0.8,-3.12,Graduate
1,13,1,12,1,1,1,22,28,10,8,1,0,0,1,0,1,22,7,7,10.8,1.4,1.74,Graduate
1,12,1,14,1,1,1,1,14,5,6,0,0,0,1,0,1,25,4,5,9.4,-0.8,-3.12,Graduate
1,8,1,5,1,1,1,13,28,5,1,1,0,0,1,1,0,20,6,5,7.6,2.6,0.32,Graduate
1,12,1,12,1,1,1,1,1,5,11,0,0,0,1,1,0,24,0,0,13.9,-0.3,0.79,Dropout
1,8,2,15,1,1,14,13,1,10,10,1,0,0,0,0,0,21,6,6,8.9,1.4,3.51,Graduate
1,6,1,8,1,1,14,1,1,5,5,0,0,0,1,0,0,26,2,0,8.9,1.4,3.51,Dropout
2,12,1,16,1,8,1,22,24,1,1,0,0,0,1,0,0,39,3,0,7.6,2.6,0.32,Dropout
2,12,1,3,0,1,1,22,14,10,10,0,0,0,1,0,0,44,8,6,12.7,3.7,-1.7,Graduate
1,1,5,15,1,1,1,22,1,6,6,1,0,0,1,0,0,18,6,6,8.9,1.4,3.51,Graduate
1,1,5,12,1,1,1,22,27,8,8,1,0,0,1,0,1,18,7,8,12.4,0.5,1.79,Graduate
1,1,4,12,1,1,1,3,3,3,3,1,0,1,0,0,0,19,4,0,13.9,-0.3,0.79,Dropout
1,17,1,6,1,16,1,23,28,10,10,0,0,0,1,0,0,21,8,5,8.9,1.4,3.51,Dropout
1,1,4,2,1,1,1,1,1,10,11,1,0,0,1,0,0,20,0,0,16.2,0.3,-0.92,Graduate
2,12,1,3,0,1,1,22,27,7,6,1,0,0,1,0,0,36,0,0,9.4,-0.8,-3.12,Dropout
4,12,1,4,1,9,1,22,27,10,7,0,0,0,1,0,0,43,18,13,15.5,2.8,-4.06,Graduate
1,9,1,16,1,1,1,13,14,10,8,1,0,0,1,0,0,19,0,0,11.1,0.6,2.02,Dropout
1,16,1,5,1,1,1,3,1,3,9,0,0,1,1,0,0,20,10,11,11.1,0.6,2.02,Graduate
1,1,2,10,1,1,1,22,28,5,8,1,0,0,1,0,0,19,0,0,16.2,0.3,-0.92,Dropout
1,1,1,6,1,1,1,1,1,5,5,1,0,0,1,0,0,20,4,4,15.5,2.8,-4.06,Dropout
1,1,5,12,1,1,1,3,4,5,4,1,0,0,1,0,0,20,6,5,12.4,0.5,1.79,Dropout
